observation_date;INDPRO;CPIAUCSL;BAA10YM;USREC
1953-04-01;19,5630;26,690;0,82;0
1953-05-01;19,6708;26,700;0,73;0
1953-06-01;19,5900;26,770;0,75;0
1953-07-01;19,8325;26,790;0,93;0
1953-08-01;19,7247;26,850;0,90;1
1953-09-01;19,3205;26,890;1,01;1
1953-10-01;19,1588;26,950;1,16;1
1953-11-01;18,7008;26,850;1,07;1
1953-12-01;18,2427;26,870;1,15;1
1954-01-01;18,1079;26,940;1,23;1
1954-02-01;18,1618;26,990;1,14;1
1954-03-01;18,0540;26,930;1,14;1
1954-04-01;17,9462;26,860;1,18;1
1954-05-01;18,0540;26,930;1,10;1
1954-06-01;18,1079;26,940;1,11;0
1954-07-01;18,1349;26,860;1,20;0
1954-08-01;18,1079;26,850;1,13;0
1954-09-01;18,1349;26,810;1,09;0
1954-10-01;18,3505;26,720;1,03;0
1954-11-01;18,6469;26,780;0,97;0
1954-12-01;18,8894;26,770;0,94;0
1955-01-01;19,3205;26,770;0,84;0
1955-02-01;19,5630;26,820;0,82;0
1955-03-01;20,0211;26,790;0,80;0
1955-04-01;20,2636;26,790;0,74;0
1955-05-01;20,5870;26,770;0,74;0
1955-06-01;20,6139;26,710;0,73;0
1955-07-01;20,7756;26,760;0,62;0
1955-08-01;20,7487;26,720;0,59;0
1955-09-01;20,8834;26,850;0,62;0
1955-10-01;21,2337;26,820;0,71;0
1955-11-01;21,2876;26,880;0,69;0
1955-12-01;21,3684;26,870;0,66;0
1956-01-01;21,5032;26,830;0,70;0
1956-02-01;21,3145;26,860;0,74;0
1956-03-01;21,3145;26,890;0,64;0
1956-04-01;21,4762;26,930;0,50;0
1956-05-01;21,2876;27,030;0,66;0
1956-06-01;21,0990;27,150;0,76;0
1956-07-01;20,4522;27,290;0,69;0
1956-08-01;21,2876;27,310;0,60;0
1956-09-01;21,7726;27,350;0,69;0
1956-10-01;21,9613;27,510;0,83;0
1956-11-01;21,7726;27,510;0,75;0
1956-12-01;22,0960;27,630;0,78;0
1957-01-01;22,0151;27,670;1,03;0
1957-02-01;22,2307;27,800;1,13;0
1957-03-01;22,2038;27,860;1,02;0
1957-04-01;21,9074;27,930;0,96;0
1957-05-01;21,8265;28,000;0,92;0
1957-06-01;21,8804;28,110;0,83;0
1957-07-01;22,0151;28,190;0,80;0
1957-08-01;22,0152;28,280;0,89;0
1957-09-01;21,8265;28,320;1,01;1
1957-10-01;21,5032;28,320;1,02;1
1957-11-01;20,9912;28,410;1,37;1
1957-12-01;20,5870;28,470;1,82;1
1958-01-01;20,2097;28,640;1,74;1
1958-02-01;19,7786;28,700;1,61;1
1958-03-01;19,5361;28,870;1,70;1
1958-04-01;19,2127;28,940;1,79;1
1958-05-01;19,4013;28,940;1,70;0
1958-06-01;19,9133;28,910;1,58;0
1958-07-01;20,2097;28,890;1,33;0
1958-08-01;20,6139;28,940;1,13;0
1958-09-01;20,8026;28,910;1,11;0
1958-10-01;21,0451;28,910;1,12;0
1958-11-01;21,6649;28,950;1,13;0
1958-12-01;21,6918;28,970;0,99;0
1959-01-01;22,0151;29,010;0,85;0
1959-02-01;22,4463;29,000;0,93;0
1959-03-01;22,7696;28,970;0,86;0
1959-04-01;23,2547;28,980;0,74;0
1959-05-01;23,6050;29,040;0,65;0
1959-06-01;23,6319;29,110;0,70;0
1959-07-01;23,0660;29,150;0,68;0
1959-08-01;22,2846;29,180;0,66;0
1959-09-01;22,2577;29,250;0,50;0
1959-10-01;22,0960;29,350;0,75;0
1959-11-01;22,2307;29,350;0,73;0
1959-12-01;23,6050;29,410;0,59;0
1960-01-01;24,2247;29,370;0,62;0
1960-02-01;24,0092;29,410;0,85;0
1960-03-01;23,7936;29,410;1,00;0
1960-04-01;23,6050;29,540;0,92;0
1960-05-01;23,5780;29,570;0,93;1
1960-06-01;23,2816;29,610;1,11;1
1960-07-01;23,2008;29,550;1,32;1
1960-08-01;23,1738;29,610;1,28;1
1960-09-01;22,9313;29,610;1,21;1
1960-10-01;22,9044;29,750;1,22;1
1960-11-01;22,5810;29,780;1,15;1
1960-12-01;22,1499;29,810;1,26;1
1961-01-01;22,1768;29,840;1,26;1
1961-02-01;22,1499;29,840;1,29;1
1961-03-01;22,2846;29,840;1,28;0
1961-04-01;22,7427;29,810;1,23;0
1961-05-01;23,0930;29,840;1,30;0
1961-06-01;23,4164;29,840;1,15;0
1961-07-01;23,6858;29,920;1,17;0
1961-08-01;23,9014;29,940;1,07;0
1961-09-01;23,8745;29,980;1,14;0
1961-10-01;24,3325;29,980;1,21;0
1961-11-01;24,7098;29,980;1,17;0
1961-12-01;24,9253;30,010;1,04;0
1962-01-01;24,7098;30,040;1,00;0
1962-02-01;25,1140;30,110;1,03;0
1962-03-01;25,2487;30,170;1,11;0
1962-04-01;25,3026;30,210;1,18;0
1962-05-01;25,2756;30,240;1,13;0
1962-06-01;25,2218;30,210;1,11;0
1962-07-01;25,4643;30,220;1,04;0
1962-08-01;25,4912;30,280;1,08;0
1962-09-01;25,6529;30,420;1,05;0
1962-10-01;25,6799;30,380;1,06;0
1962-11-01;25,7876;30,380;1,04;0
1962-12-01;25,7876;30,380;1,06;0
1963-01-01;25,9762;30,440;1,08;0
1963-02-01;26,2727;30,480;0,97;0
1963-03-01;26,4344;30,510;0,95;0
1963-04-01;26,6769;30,480;0,90;0
1963-05-01;27,0002;30,510;0,92;0
1963-06-01;27,0811;30,610;0,85;0
1963-07-01;26,9733;30,690;0,82;0
1963-08-01;27,0272;30,750;0,83;0
1963-09-01;27,2966;30,720;0,76;0
1963-10-01;27,4853;30,750;0,72;0
1963-11-01;27,6200;30,780;0,72;0
1963-12-01;27,5661;30,880;0,72;0
1964-01-01;27,8086;30,940;0,66;0
1964-02-01;27,9972;30,910;0,68;0
1964-03-01;27,9972;30,940;0,61;0
1964-04-01;28,4553;30,950;0,62;0
1964-05-01;28,6170;30,980;0,65;0
1964-06-01;28,6978;31,010;0,68;0
1964-07-01;28,8865;31,020;0,64;0
1964-08-01;29,0751;31,050;0,63;0
1964-09-01;29,1829;31,080;0,62;0
1964-10-01;28,7787;31,120;0,62;0
1964-11-01;29,6679;31,210;0,66;0
1964-12-01;30,0182;31,250;0,63;0
1965-01-01;30,3416;31,280;0,61;0
1965-02-01;30,5302;31,280;0,57;0
1965-03-01;30,9344;31,310;0,57;0
1965-04-01;31,0691;31,380;0,60;0
1965-05-01;31,3116;31,480;0,60;0
1965-06-01;31,5541;31,610;0,64;0
1965-07-01;31,8506;31,580;0,68;0
1965-08-01;31,9853;31,550;0,63;0
1965-09-01;32,0661;31,620;0,62;0
1965-10-01;32,3895;31,650;0,58;0
1965-11-01;32,5242;31,750;0,50;0
1965-12-01;32,9284;31,850;0,40;0
1966-01-01;33,2518;31,880;0,45;0
1966-02-01;33,4674;32,080;0,29;0
1966-03-01;33,9254;32,180;0,45;0
1966-04-01;33,9793;32,280;0,66;0
1966-05-01;34,3027;32,350;0,70;0
1966-06-01;34,4643;32,380;0,77;0
1966-07-01;34,6530;32,450;0,66;0
1966-08-01;34,6799;32,650;0,61;0
1966-09-01;35,0033;32,750;0,91;0
1966-10-01;35,2458;32,850;1,09;0
1966-11-01;35,0033;32,880;0,97;0
1966-12-01;35,0841;32,920;1,34;0
1967-01-01;35,2496;32,900;1,39;0
1967-02-01;34,8498;33,000;1,19;0
1967-03-01;34,6534;33,000;1,31;0
1967-04-01;34,9802;33,100;1,24;0
1967-05-01;34,6750;33,100;1,11;0
1967-06-01;34,6707;33,300;1,13;0
